,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1982,0.96786051,0.967463554,0.96695964,0.966449279,0.966091517,0.965660075,0.965322016,0.965006605,0.965297104,0.965348805,0.965136573,0.96473903,0.964400547,0.964214884,0.963898406,0.963697692,0.963390417,0.963124659,0.962843287,0.962670276,0.962515927,0.962396884,0.962354175,0.962246241,0.962107797,0.962114474,0.962079539,0.962195216,0.962276803,0.962502209,0.962503712,0.962575885,0.962633745,0.962810882,0.962975461,0.963084375,0.963232052,0.963409601,0.963512527,0.963676466
1983,0.967941366,0.967544959,0.967041953,0.966532128,0.96617496,0.965743723,0.965405852,0.965090837,0.965380707,0.965432289,0.96522059,0.964823714,0.964485946,0.964300779,0.96398477,0.963784119,0.963477593,0.963212519,0.96293158,0.962759303,0.962605526,0.962486937,0.962444472,0.962337125,0.962199011,0.962205993,0.96217125,0.9622872,0.962368874,0.962593914,0.962595689,0.962667775,0.962725434,0.962902261,0.963066679,0.963175618,0.963323227,0.963500569,0.963603067,0.963766819
1984,0.968022141,0.967626312,0.967124048,0.966614889,0.966258167,0.965827269,0.965489595,0.965174861,0.965464248,0.965515693,0.965304462,0.964908268,0.964571245,0.964386531,0.964071031,0.963870533,0.963564637,0.963300304,0.963019795,0.962848275,0.962694981,0.962576815,0.962534642,0.962427789,0.96229013,0.962297332,0.962262846,0.962379044,0.962460897,0.962685547,0.962687422,0.962759548,0.962816944,0.962993427,0.963157756,0.963266684,0.963414304,0.963591395,0.963693587,0.96385697
1985,0.968102827,0.96770754,0.967206109,0.966697429,0.966341115,0.965910635,0.96557323,0.965258787,0.965547593,0.965599038,0.965388266,0.964992752,0.964656274,0.964472232,0.96415706,0.963956863,0.963651643,0.963387868,0.963107844,0.962937003,0.962784337,0.962666636,0.962624713,0.962518372,0.962381136,0.962388567,0.962354372,0.962470822,0.962552828,0.962777102,0.962779058,0.962851189,0.962908373,0.963084421,0.963248726,0.963357536,0.963505191,0.963682078,0.963783939,0.963947
1986,0.968183409,0.967788701,0.967287924,0.966779916,0.966424024,0.965993985,0.965656611,0.965342605,0.965630856,0.965682222,0.965471901,0.965077102,0.964741226,0.964557836,0.964243001,0.964042993,0.963738458,0.963475359,0.963195785,0.963025666,0.962873621,0.962756418,0.962714729,0.962608629,0.962472079,0.962479636,0.962445736,0.962562459,0.962644645,0.962868527,0.962870585,0.962942582,0.962999646,0.963175375,0.963339616,0.963448264,0.963596034,0.963772562,0.963874145,0.96403689
1987,0.968263946,0.967869581,0.967369695,0.96686221,0.966506819,0.966077182,0.965739964,0.965426228,0.96571408,0.965765311,0.965555441,0.965161348,0.964825992,0.964643266,0.96432885,0.964128986,0.963825182,0.963562808,0.963283556,0.963114212,0.962962727,0.962845998,0.962804626,0.962698829,0.962562736,0.96257057,0.962537096,0.962653972,0.962736355,0.962959808,0.962962044,0.963033866,0.963090632,0.963266015,0.963430243,0.963538871,0.963686729,0.963862786,0.963964206,0.964126644
1988,0.968344356,0.967950367,0.967451443,0.966944453,0.966589581,0.96616032,0.965823152,0.965509806,0.965797136,0.965848319,0.965638841,0.965245414,0.964910697,0.964728496,0.964414623,0.964214766,0.963911692,0.963649974,0.963371195,0.963202495,0.963051693,0.962935387,0.962894416,0.962788882,0.962653167,0.962661439,0.962628298,0.9627454,0.962827972,0.963050965,0.963053452,0.96312504,0.963181556,0.963356611,0.963520799,0.963629337,0.963777237,0.963952936,0.964054066,0.964216271
1989,0.968424569,0.96803109,0.967533015,0.967026656,0.966672241,0.966243347,0.965906289,0.965593324,0.965880027,0.965931181,0.965722111,0.965329421,0.964995324,0.964813678,0.964500195,0.96430044,0.963998114,0.963736998,0.963458698,0.96329075,0.963140451,0.963024733,0.962984049,0.962878901,0.962743424,0.962752293,0.96271933,0.962836681,0.962919462,0.963141982,0.963144515,0.963215965,0.963272386,0.963447084,0.963611211,0.963719535,0.963867583,0.964043064,0.964143817,0.964305761
1990,0.968504713,0.968111769,0.967614504,0.967108642,0.966754723,0.966326113,0.965989358,0.965676767,0.965962695,0.966013888,0.96580526,0.965413338,0.965079851,0.964898748,0.964585632,0.964386063,0.964084491,0.963823919,0.963546105,0.963378828,0.963229139,0.963113815,0.963073578,0.96296872,0.962833619,0.962843058,0.962810275,0.962927773,0.963010626,0.963232852,0.963235498,0.963306787,0.963363006,0.96353749,0.963701408,0.963809712,0.963957832,0.964132927,0.964233536,0.964395105
1991,0.968584698,0.968192293,0.96769588,0.967190474,0.966837053,0.96640879,0.966072342,0.965760092,0.966045353,0.966096449,0.965888326,0.965497101,0.965164207,0.964983685,0.964670906,0.964471569,0.964170779,0.963910818,0.963633467,0.963466851,0.963317689,0.96320271,0.96316295,0.963058459,0.962923633,0.962933492,0.96290097,0.963018801,0.963101624,0.963323581,0.963326275,0.963397471,0.96345341,0.963627594,0.963791461,0.963899717,0.964047952,0.964222619,0.964322924,0.964484193
