,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
50%,chron10,-0.5157714774776272,0.7119566954226484,0.5230485454230598,0.5157714774776272,0.5157714774776272,0.5157714774776272,0.5157714774776272,0.5157714774776272,0.5157714774776272,-0.4298720058538269,0.2691954991648655,0.4842285225223728,0.3424515054738766
75%,chron10,-0.48921523595658534,0.7407960908031432,0.5327642720804423,0.5329709261266153,0.5329709261266153,0.5329709261266153,0.5329709261266153,0.5329709261266153,0.5329709261266153,-0.3532409367903698,0.29204628400851074,0.5107847640434147,0.35604082026294315
max,chron10,-0.4322033898305085,0.7970836978710995,0.5438104771438105,0.5649867374005305,0.5649867374005305,0.5649867374005305,0.5649867374005305,0.5649867374005305,0.5649867374005305,-0.18946592973128884,0.3417876874915777,0.5677966101694916,0.38621174147489934
count,shuffle1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle1,-0.5232923902410547,0.7310941996523781,0.5495372277040901,0.5232923902410547,0.5232923902410547,0.5232923902410547,0.5232923902410547,0.5232923902410547,0.5232923902410547,-0.4771939717735735,0.27636946513031113,0.4767076097589453,0.3478444321775872
std,shuffle1,0.02953711964330598,0.05201392155138605,0.012299940651926413,0.02953711964330598,0.02953711964330598,0.02953711964330598,0.029537119643305975,0.029537119643305985,0.029537119643305985,0.13500949022884173,0.039097105935646276,0.02953711964330599,0.025224598146713153
min,shuffle1,-0.5665990534144693,0.6135940989616236,0.5245098039215687,0.4302477183833116,0.4302477183833116,0.4302477183833116,0.4302477183833116,0.4302477183833116,0.4302477183833116,-0.9104187740238724,0.1656599776715426,0.4334009465855307,0.2708657497288749
25%,shuffle1,-0.542543623606799,0.7055186333075913,0.5407997011170775,0.511950985498395,0.511950985498395,0.511950985498395,0.511950985498395,0.511950985498395,0.511950985498395,-0.5633346672176429,0.2613763887586812,0.45745637639320097,0.3385799788254932
50%,shuffle1,-0.5235265518985242,0.7312748488886505,0.5477414662160405,0.5235265518985242,0.5235265518985242,0.5235265518985242,0.5235265518985242,0.5235265518985242,0.5235265518985242,-0.4566734321087409,0.2781543300522098,0.47647344810147585,0.3495087323531021
75%,shuffle1,-0.511950985498395,0.7670745505476142,0.5556613641316192,0.542543623606799,0.542543623606799,0.542543623606799,0.542543623606799,0.542543623606799,0.542543623606799,-0.38983522602840065,0.3006706252083235,0.4880490145016051,0.3630934910910581
max,shuffle1,-0.4302477183833116,0.8261021571163863,0.5907840440165062,0.5665990534144693,0.5665990534144693,0.5665990534144693,0.5665990534144693,0.5665990534144693,0.5665990534144693,-0.2067602647354594,0.3431721815763219,0.5697522816166884,0.3868978233495233
count,shuffle5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle5,-0.5254884530798603,0.7272257699316246,0.5401600037702661,0.5254884530798603,0.5254884530798603,0.5254884530798603,0.5254884530798603,0.5254884530798603,0.5254884530798603,-0.4670137576839181,0.2802766159952552,0.4745115469201397,0.3500367239053711
std,shuffle5,0.028922703650735272,0.04117357668110334,0.003990445841157962,0.028922703650735272,0.028922703650735272,0.028922703650735272,0.028922703650735265,0.028922703650735265,0.028922703650735265,0.12882319924308594,0.03833064736544193,0.028922703650735255,0.02539610190518556
min,shuffle5,-0.578042328042328,0.6215283874366099,0.5320935812837433,0.4524119947848762,0.4524119947848762,0.4524119947848762,0.4524119947848762,0.4524119947848762,0.4524119947848762,-0.8525591745903303,0.19854108304183185,0.4219576719576721,0.28755524261523524
25%,shuffle5,-0.5490238110128403,0.7009156355991784,0.5375160034779585,0.5077257725772577,0.5077257725772577,0.5077257725772577,0.5077257725772577,0.5077257725772577,0.5077257725772577,-0.5561096993061465,0.2542695850967959,0.45097618898715974,0.33399044549389123
50%,shuffle5,-0.5252698750073914,0.7265423592672062,0.5400231722447566,0.5252698750073914,0.5252698750073914,0.5252698750073914,0.5252698750073914,0.5252698750073914,0.5252698750073914,-0.4553932313382384,0.2829562044265911,0.4747301249926087,0.3522977341073005
