feature_name,importance,
revtq_qoq_lag02,339,0.000618171
oibdpq_qoq_lag06,339,0.000618171
aoq_yoy_lag08,339,0.000618171
dpactq_yoy_lag12,339,0.000618171
cheq_yoy_lag16,339,0.000618171
txtq_yoy_lag04,338,0.000616347
xsgaq_qoq_lag07,338,0.000616347
ltq_qoq_lag17,338,0.000616347
revtq_qoq_lag18,338,0.000616347
rectq_yoy_lag02,337,0.000614524
ppentq_yoy_lag04,337,0.000614524
lctq_yoy_lag08,337,0.000614524
acoq_yoy_lag10,337,0.000614524
lctq_qoq_lag18,337,0.000614524
dpactq_revtq_lag19,337,0.000614524
apq_qoq_lag11,336,0.0006127
niq_yoy_lag15,336,0.0006127
oancfy_q_revtq_lag03,335,0.000610877
apq_yoy_lag09,335,0.000610877
wcapq_yoy_lag09,335,0.000610877
atq_qoq_lag11,335,0.000610877
txtq_qoq_lag12,335,0.000610877
ltq_yoy_lag13,335,0.000610877
cogsq_qoq_lag14,335,0.000610877
cheq_yoy_lag15,335,0.000610877
ltq_yoy_lag16,335,0.000610877
revtq_yoy_lag18,335,0.000610877
ltq_qoq_lag01,334,0.000609053
txtq_qoq_lag02,334,0.000609053
oancfy_q_yoy_lag12,334,0.000609053
lctq_yoy_lag15,334,0.000609053
dlcq_atq_lag18,334,0.000609053
lltq_yoy_lag07,333,0.00060723
nopiq_revtq_lag08,333,0.00060723
lcoq_yoy_lag10,333,0.00060723
lltq_yoy_lag19,333,0.00060723
cheq_atq,332,0.000605406
spiq_revtq,332,0.000605406
txtq_yoy_lag10,332,0.000605406
atq_qoq_lag05,331,0.000603583
xsgaq_qoq_lag12,331,0.000603583
nopiq_revtq_lag13,331,0.000603583
capxy_q_yoy_lag14,331,0.000603583
seqq_yoy_lag18,331,0.000603583
dpq_yoy_lag03,330,0.000601759
lctq_qoq_lag07,330,0.000601759
wcapq_qoq_lag11,330,0.000601759
atq_yoy,329,0.000599936
cogsq_revtq,329,0.000599936
oibdpq_yoy_lag08,329,0.000599936
ltq_qoq_lag15,329,0.000599936
xsgaq_qoq_lag03,328,0.000598112
ltq_qoq_lag04,328,0.000598112
txtq_yoy_lag02,327,0.000596289
nopiq_revtq_lag04,327,0.000596289
rectq_qoq_lag12,327,0.000596289
rectq_qoq_lag16,327,0.000596289
rectq_qoq_lag18,327,0.000596289
wcapq_yoy_lag01,326,0.000594465
revtq_yoy_lag05,326,0.000594465
xoprq_yoy_lag07,326,0.000594465
wcapq_qoq_lag12,326,0.000594465
cogsq_qoq_lag13,326,0.000594465
seqq_qoq_lag13,326,0.000594465
apq_yoy_lag18,326,0.000594465
aoq_atq_lag18,326,0.000594465
acoq_qoq_lag19,326,0.000594465
lctq_qoq_lag19,326,0.000594465
apq_qoq_lag15,325,0.000592642
acoq_qoq_lag16,325,0.000592642
xoprq_qoq_lag19,325,0.000592642
seqq_yoy_lag19,325,0.000592642
apq_qoq_lag05,324,0.000590818
cogsq_yoy_lag05,324,0.000590818
loq_yoy_lag06,324,0.000590818
nopiq_qoq_lag07,324,0.000590818
lcoq_yoy_lag13,324,0.000590818
nopiq_yoy_lag01,323,0.000588995
atq_qoq_lag03,323,0.000588995
seqq_qoq_lag05,323,0.000588995
acoq_qoq_lag14,323,0.000588995
xsgaq_qoq,322,0.000587171
lcoq_yoy_lag07,322,0.000587171
dpq_qoq_lag08,322,0.000587171
aoq_yoy_lag10,322,0.000587171
acoq_qoq_lag13,322,0.000587171
actq_qoq_lag03,321,0.000585348
xoprq_qoq_lag05,321,0.000585348
lcoq_yoy_lag12,321,0.000585348
acoq_yoy_lag17,321,0.000585348
dpq_yoy_lag01,320,0.000583524
xintq_qoq_lag06,320,0.000583524
capxy_q_yoy_lag08,320,0.000583524
actq_yoy_lag10,320,0.000583524
lctq_qoq_lag15,320,0.000583524
req_yoy_lag01,319,0.000581701
apq_qoq_lag10,319,0.000581701
seqq_qoq_lag10,319,0.000581701
cheq_qoq_lag12,319,0.000581701
apq_yoy_lag12,319,0.000581701
ltq_yoy_lag18,319,0.000581701
actq_qoq,318,0.000579877
oibdpq_revtq,318,0.000579877
lcoq_yoy_lag15,318,0.000579877
xintq_revtq,317,0.000578054
dpq_yoy_lag02,317,0.000578054
acoq_qoq_lag12,317,0.000578054
lctq_qoq_lag13,317,0.000578054
dpq_qoq_lag05,316,0.00057623
rectq_yoy_lag07,316,0.00057623
seqq_yoy_lag08,316,0.00057623
revtq_qoq_lag11,316,0.00057623
cheq_atq_lag01,315,0.000574407
oancfy_q_yoy_lag04,315,0.000574407
oibdpq_qoq_lag07,315,0.000574407
capxy_q_revtq_lag19,315,0.000574407
ancq_yoy_lag02,314,0.000572583
capxy_q_yoy_lag05,314,0.000572583
atq_qoq_lag08,314,0.000572583
revtq_yoy_lag09,314,0.000572583
capxy_q_yoy_lag12,314,0.000572583
wcapq_qoq_lag14,314,0.000572583
seqq_qoq_lag16,314,0.000572583
apq_yoy_lag17,314,0.000572583
xintq_yoy_lag01,313,0.00057076
cogsq_yoy_lag06,313,0.00057076
wcapq_yoy_lag06,313,0.00057076
cogsq_yoy_lag08,313,0.00057076
actq_yoy_lag09,313,0.00057076
txtq_qoq_lag10,313,0.00057076
atq_yoy_lag13,313,0.00057076
ltq_yoy_lag14,313,0.00057076
dpactq_qoq_lag15,313,0.00057076
loq_yoy_lag15,313,0.00057076
seqq_qoq_lag17,313,0.00057076
dpactq_yoy_lag06,312,0.000568936
loq_yoy_lag09,312,0.000568936
loq_yoy_lag12,312,0.000568936
apq_yoy_lag19,312,0.000568936
nopiq_yoy_lag19,312,0.000568936
ppentq_yoy_lag19,312,0.000568936
rectq_yoy_lag13,311,0.000567113
xsgaq_qoq_lag14,311,0.000567113
niq_yoy_lag14,311,0.000567113
dlcq_yoy_lag03,310,0.000565289
capxy_q_revtq_lag07,310,0.000565289
oibdpq_qoq_lag08,310,0.000565289
nopiq_yoy_lag09,310,0.000565289
lcoq_qoq_lag13,310,0.000565289
lcoq_qoq_lag14,310,0.000565289
invtq_yoy_lag01,309,0.000563466
xoprq_qoq_lag04,309,0.000563466
lctq_atq_lag05,309,0.000563466
dpactq_yoy_lag09,309,0.000563466
lcoq_yoy_lag14,309,0.000563466
invtq_qoq,308,0.000561642
rectq_qoq_lag03,308,0.000561642
oancfy_q_yoy_lag03,308,0.000561642
cogsq_qoq_lag04,308,0.000561642
lctq_yoy_lag16,308,0.000561642
capxy_q_yoy_lag18,308,0.000561642
atq_qoq_lag01,307,0.000559819
xoprq_revtq_lag02,307,0.000559819
ancq_yoy_lag08,307,0.000559819
cogsq_qoq_lag11,307,0.000559819
cogsq_qoq_lag12,307,0.000559819
nopiq_qoq_lag16,307,0.000559819
revtq_yoy_lag16,307,0.000559819
dpq_qoq_lag18,307,0.000559819
rectq_atq,306,0.000557995
seqq_yoy_lag04,306,0.000557995
acoq_qoq_lag07,306,0.000557995
txtq_yoy_lag07,306,0.000557995
capxy_q_yoy_lag09,306,0.000557995
capxy_q_qoq_lag12,306,0.000557995
capxy_q_qoq_lag17,306,0.000557995
revtq_yoy_lag17,306,0.000557995
dlcq_atq_lag19,306,0.000557995
lctq_yoy_lag03,305,0.000556171
lctq_yoy_lag04,305,0.000556171
