,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
47,0.6,2.0,gbdt,0.4,0.0,0.0,0.001,300.0,multi_error,250.0,0.2,3.0,400.0,2.0,multiclass,573.0,-0.5182383658424206,0.6421943196508338,0.519487002265484,0.5182383658424206,0.5182383658424206,0.5182383658424206,0.5182383658424206,ok
48,0.8,2.0,dart,0.8,1.0,1.0,1e-05,200.0,multi_error,500.0,0.05,3.0,200.0,2.0,multiclass,709.0,-0.48832744586085086,0.5497190543844155,0.48972852589947397,0.48832744586085086,0.48832744586085086,0.48832744586085086,0.48832744586085086,ok
49,0.4,5.0,gbdt,0.8,0.0,0.5,1.0,300.0,multi_error,250.0,0.2,3.0,400.0,2.0,multiclass,475.0,-0.48118568576255566,0.9911684521752486,0.48596551856544945,0.48118568576255566,0.48118568576255566,0.48118568576255566,0.48118568576255566,ok
50,0.8,2.0,gbdt,0.6,0.0,1.0,0.01,255.0,multi_error,750.0,0.05,3.0,300.0,2.0,multiclass,573.0,-0.5409307326063585,0.7057814639890437,0.5389548055139577,0.5409307326063585,0.5409307326063585,0.5409307326063585,0.5409307326063585,ok
51,0.6,8.0,dart,0.4,1.0,0.0,0.1,300.0,multi_error,500.0,0.4,3.0,400.0,2.0,multiclass,709.0,-0.5543695284902472,0.9171370425834198,0.5618784318242906,0.5543695284902472,0.5543695284902472,0.5543695284902472,0.5543695284902472,ok
52,0.8,2.0,gbdt,0.8,0.4,1.0,0.1,200.0,multi_error,250.0,0.05,3.0,200.0,2.0,multiclass,573.0,-0.5995622792197819,0.9999872006553264,0.6001612717428868,0.5995622792197819,0.5995622792197819,0.5995622792197819,0.5995622792197819,ok
53,0.8,2.0,gbdt,0.8,0.0,1.0,0.0001,300.0,multi_error,250.0,0.2,3.0,400.0,2.0,multiclass,475.0,-0.5188527107971126,0.6281534385439466,0.5100794839304228,0.5188527107971126,0.5188527107971126,0.5188527107971126,0.5188527107971126,ok
54,0.6,2.0,dart,0.8,0.4,0.5,1.0,255.0,multi_error,500.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.5501459069267394,0.9997824111405496,0.5487463041892255,0.5501459069267394,0.5501459069267394,0.5501459069267394,0.5501459069267394,ok
55,0.4,5.0,gbdt,0.6,1.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,300.0,2.0,multiclass,709.0,-0.5667716172630932,0.9989248550474216,0.5603809084974849,0.5667716172630932,0.5667716172630932,0.5667716172630932,0.5667716172630932,ok
56,0.8,8.0,gbdt,0.4,0.0,0.0,0.001,300.0,multi_error,250.0,0.4,3.0,200.0,2.0,multiclass,573.0,-0.5306788511749347,0.6883615558883385,0.5364205352685942,0.5306788511749347,0.5306788511749347,0.5306788511749347,0.5306788511749347,ok
57,0.8,2.0,dart,0.8,0.4,1.0,1e-05,300.0,multi_error,750.0,0.2,3.0,400.0,2.0,multiclass,573.0,-0.44651359238212257,0.48044900101114824,0.4471067081365434,0.44651359238212257,0.44651359238212257,0.44651359238212257,0.44651359238212257,ok
58,0.6,2.0,gbdt,0.8,0.0,1.0,0.1,200.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,475.0,-0.5967209338043311,0.9998976052426116,0.602157969511961,0.5967209338043311,0.5967209338043311,0.5967209338043311,0.5967209338043311,ok
59,0.8,2.0,gbdt,0.8,0.0,1.0,0.01,255.0,multi_error,500.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.5527952695438488,0.7891563951925662,0.5533924663057251,0.5527952695438488,0.5527952695438488,0.5527952695438488,0.5527952695438488,ok
60,0.4,2.0,gbdt,0.8,1.0,0.5,1.0,300.0,multi_error,250.0,0.05,3.0,200.0,2.0,multiclass,709.0,-0.4812240823222239,0.9994368288343637,0.4829704719118381,0.4812240823222239,0.4812240823222239,0.4812240823222239,0.4812240823222239,ok
61,0.8,8.0,dart,0.6,0.4,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,300.0,2.0,multiclass,573.0,-0.5966441406849946,0.9994752268683843,0.5978189916676266,0.5966441406849946,0.5966441406849946,0.5966441406849946,0.5966441406849946,ok
62,0.8,5.0,gbdt,0.4,0.0,0.0,0.1,300.0,multi_error,750.0,0.2,3.0,400.0,2.0,multiclass,573.0,-0.5832053448011059,0.99805449960962,0.5819222055830742,0.5832053448011059,0.5832053448011059,0.5832053448011059,0.5832053448011059,ok
63,0.6,2.0,gbdt,0.8,0.0,1.0,0.0001,200.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.49808017201658733,0.5910097403012966,0.5076604077871213,0.49808017201658733,0.49808017201658733,0.49808017201658733,0.49808017201658733,ok
64,0.8,2.0,gbdt,0.8,0.0,1.0,1e-05,300.0,multi_error,500.0,0.4,3.0,400.0,2.0,multiclass,475.0,-0.332629396406082,0.33435728090721756,0.3309910532580732,0.332629396406082,0.332629396406082,0.332629396406082,0.332629396406082,ok
